physid,round,contribution,average_others,bonus,group_id_in_round,group_individual_share,belief,group_total_cont,loss0_gain1,total_payoff,gender,age,riskpos,riskneg,ua_pos,ua_neg,reci,session,la
752,27,20,13,1,3,20,9,40,0,-513,0,31,0,0,5,5,55,1,6
771,1,0,16,2,1,5,5,11,0,-347,0,24,,,,,61,1,
771,2,5,14,2,2,11,5,23,0,-347,0,24,,,,,61,1,
771,3,5,12,0,1,13,4,27,0,-347,0,24,,,,,61,1,
771,4,0,14,1,1,8,8,17,0,-347,0,24,,,,,61,1,
771,5,10,13,0,1,15,10,30,0,-347,0,24,,,,,61,1,
771,6,5,20,0,1,2,12,5,0,-347,0,24,,,,,61,1,
771,7,5,15,0,3,10,8,20,0,-347,0,24,,,,,61,1,
771,8,0,12,0,3,11,5,22,0,-347,0,24,,,,,61,1,
771,9,0,16,2,1,6,5,12,0,-347,0,24,,,,,61,1,
771,10,0,16,3,2,6,4,12,0,-347,0,24,,,,,61,1,
771,11,0,19,0,1,1,4,2,0,-347,0,24,,,,,61,1,
771,12,0,16,2,1,6,5,12,0,-347,0,24,,,,,61,1,
771,13,4,13,0,2,12,4,24,0,-347,0,24,,,,,61,1,
771,14,5,9,0,2,18,5,37,0,-347,0,24,,,,,61,1,
771,15,5,17,1,3,6,5,13,0,-347,0,24,,,,,61,1,
771,16,5,15,3,2,10,5,20,0,-347,0,24,,,,,61,1,
771,17,5,8,0,2,19,5,39,0,-347,0,24,,,,,61,1,
771,18,5,14,3,2,11,6,23,0,-347,0,24,,,,,61,1,
771,19,5,10,0,3,17,5,35,0,-347,0,24,,,,,61,1,
771,20,5,14,2,3,11,5,22,0,-347,0,24,,,,,61,1,
771,21,5,6,0,1,22,5,45,0,-347,0,24,,,,,61,1,
771,22,5,18,0,3,5,6,10,0,-347,0,24,,,,,61,1,
771,23,5,15,3,2,10,5,20,0,-347,0,24,,,,,61,1,
771,24,5,7,0,3,21,5,42,0,-347,0,24,,,,,61,1,
771,25,5,18,0,2,5,5,10,0,-347,0,24,,,,,61,1,
771,26,5,20,0,2,2,6,5,0,-347,0,24,,,,,61,1,
771,27,2,16,1,2,6,2,13,0,-347,0,24,,,,,61,1,
783,1,10,19,0,1,5,15,11,0,-489,0,23,,,2,5,41,1,
783,2,10,16,0,3,10,0,21,0,-489,0,23,,,2,5,41,1,
783,3,10,5,0,3,27,5,55,0,-489,0,23,,,2,5,41,1,
783,4,12,18,0,1,8,12,17,0,-489,0,23,,,2,5,41,1,
783,5,18,18,0,3,11,12,23,0,-489,0,23,,,2,5,41,1,
